location_id,year,age_group_id,sex_id,mean
160,1970,149,1,1.82
160,1970,149,2,0.48
160,1970,150,1,1.36
160,1970,150,2,0.21
160,1970,151,1,1.16
160,1970,151,2,0.15
160,1970,152,1,1.06
160,1970,152,2,0.11
160,1970,153,1,0.75
160,1970,153,2,0.06
160,1970,154,1,0.52
160,1970,154,2,0.05
168,1970,149,1,2.25
168,1970,149,2,1.64
168,1970,150,1,2.77
168,1970,150,2,1.42
168,1970,151,1,2.68
168,1970,151,2,1.12
168,1970,152,1,1.95
168,1970,152,2,0.47
168,1970,153,1,1.14
168,1970,153,2,0.2
168,1970,154,1,0.61
168,1970,154,2,0.13
43,1970,149,1,5.47
43,1970,149,2,4.99
43,1970,150,1,6.1
43,1970,150,2,5.33
43,1970,151,1,6.14
43,1970,151,2,5.04
43,1970,152,1,5.94
43,1970,152,2,4.38
43,1970,153,1,4.89
43,1970,153,2,3.08
43,1970,154,1,3.59
43,1970,154,2,1.9
74,1970,149,1,9.16
74,1970,149,2,9.5
74,1970,150,1,8.35
74,1970,150,2,8.1
74,1970,151,1,7.45
74,1970,151,2,6.68
74,1970,152,1,6.59
74,1970,152,2,5.38
74,1970,153,1,5.76
74,1970,153,2,4.24
74,1970,154,1,4.99
74,1970,154,2,3.28
156,1970,149,1,4.24
156,1970,149,2,4.18
156,1970,150,1,4.52
156,1970,150,2,4.11
156,1970,151,1,4.2
156,1970,151,2,2.29
156,1970,152,1,3.03
156,1970,152,2,1.06
156,1970,153,1,1.66
156,1970,153,2,0.48
156,1970,154,1,0.55
156,1970,154,2,0.18
97,1970,149,1,6.61
97,1970,149,2,6.64
97,1970,150,1,6.58
97,1970,150,2,6.36
97,1970,151,1,5.94
97,1970,151,2,5.51
97,1970,152,1,5.31
97,1970,152,2,4.76
97,1970,153,1,4.68
97,1970,153,2,4.05
97,1970,154,1,3.99
97,1970,154,2,3.34
33,1970,149,1,6.1
33,1970,149,2,5.72
33,1970,150,1,6.97
33,1970,150,2,6.39
33,1970,151,1,6.99
33,1970,151,2,6.17
33,1970,152,1,6.52
33,1970,152,2,5.52
33,1970,153,1,5.77
33,1970,153,2,4.62
33,1970,154,1,4.59
33,1970,154,2,3.23
105,1970,149,1,7.46
105,1970,149,2,7.95
105,1970,150,1,7.09
105,1970,150,2,7.3
105,1970,151,1,6.75
105,1970,151,2,6.86
105,1970,152,1,6.43
105,1970,152,2,6.48
105,1970,153,1,6.25
105,1970,153,2,6.15
105,1970,154,1,5.97
105,1970,154,2,5.7
71,1970,149,1,9.06
71,1970,149,2,8.91
71,1970,150,1,8.76
71,1970,150,2,8.34
71,1970,151,1,8.33
71,1970,151,2,7.64
71,1970,152,1,7.71
71,1970,152,2,6.97
71,1970,153,1,7.07
71,1970,153,2,6.39
71,1970,154,1,6.46
71,1970,154,2,5.81
75,1970,149,1,7.24
75,1970,149,2,6.54
75,1970,150,1,8.36
75,1970,150,2,7.11
75,1970,151,1,8.1
75,1970,151,2,6.57
75,1970,152,1,7.74
75,1970,152,2,6.04
75,1970,153,1,7.41
75,1970,153,2,5.52
75,1970,154,1,6.87
75,1970,154,2,4.95
34,1970,149,1,6.75
34,1970,149,2,6.06
34,1970,150,1,7.46
34,1970,150,2,6.48
34,1970,151,1,7.63
34,1970,151,2,6.24
34,1970,152,1,7.31
34,1970,152,2,5.44
34,1970,153,1,6.41
34,1970,153,2,4.22
34,1970,154,1,4.96
34,1970,154,2,2.75
175,1970,149,1,1.92
175,1970,149,2,1.29
175,1970,150,1,1.84
175,1970,150,2,1
175,1970,151,1,1.61
175,1970,151,2,0.65
175,1970,152,1,1.32
175,1970,152,2,0.4
175,1970,153,1,0.97
175,1970,153,2,0.19
175,1970,154,1,0.52
175,1970,154,2,0.09
76,1970,149,1,8.59
76,1970,149,2,8.35
76,1970,150,1,8.27
76,1970,150,2,7.87
76,1970,151,1,7.66
76,1970,151,2,6.94
76,1970,152,1,7.22
76,1970,152,2,6.23
76,1970,153,1,6.43
76,1970,153,2,5.62
76,1970,154,1,5.59
76,1970,154,2,4.81
200,1970,149,1,2.26
200,1970,149,2,1.08
200,1970,150,1,1.98
200,1970,150,2,0.66
200,1970,151,1,1.7
200,1970,151,2,0.44
200,1970,152,1,1.21
200,1970,152,2,0.3
200,1970,153,1,0.75
200,1970,153,2,0.18
200,1970,154,1,0.38
200,1970,154,2,0.08
201,1970,149,1,1.15
201,1970,149,2,0.58
201,1970,150,1,0.95
201,1970,150,2,0.36
201,1970,151,1,0.64
201,1970,151,2,0.2
201,1970,152,1,0.38
201,1970,152,2,0.09
201,1970,153,1,0.17
201,1970,153,2,0.03
201,1970,154,1,0.08
201,1970,154,2,0.01
161,1970,149,1,2.73
161,1970,149,2,1.75
161,1970,150,1,2.41
161,1970,150,2,1.14
161,1970,151,1,2.11
161,1970,151,2,0.77
161,1970,152,1,1.92
161,1970,152,2,0.54
161,1970,153,1,1.61
161,1970,153,2,0.33
161,1970,154,1,1.27
161,1970,154,2,0.21
45,1970,149,1,7.93
45,1970,149,2,7.94
45,1970,150,1,8.33
45,1970,150,2,8.06
45,1970,151,1,7.74
45,1970,151,2,7.09
45,1970,152,1,6.98
45,1970,152,2,6
45,1970,153,1,6.12
45,1970,153,2,4.86
45,1970,154,1,5.08
45,1970,154,2,3.49
140,1970,149,1,5.37
140,1970,149,2,4.61
140,1970,150,1,4.1
140,1970,150,2,3.26
140,1970,151,1,3.51
140,1970,151,2,1.98
140,1970,152,1,2.6
140,1970,152,2,0.98
140,1970,153,1,1.46
140,1970,153,2,0.37
140,1970,154,1,0.58
140,1970,154,2,0.1
106,1970,149,1,6.67
106,1970,149,2,6.54
106,1970,150,1,6.64
106,1970,150,2,6.39
106,1970,151,1,6.19
106,1970,151,2,5.8
106,1970,152,1,5.51
106,1970,152,2,5
106,1970,153,1,5.09
106,1970,153,2,4.36
106,1970,154,1,4.43
106,1970,154,2,3.72
44,1970,149,1,5.12
44,1970,149,2,4.34
44,1970,150,1,5.38
44,1970,150,2,4.37
44,1970,151,1,5.36
44,1970,151,2,4.01
44,1970,152,1,4.92
44,1970,152,2,3.33
44,1970,153,1,4.2
44,1970,153,2,2.49
44,1970,154,1,3.36
44,1970,154,2,1.89
57,1970,149,1,6.42
57,1970,149,2,6.03
57,1970,150,1,7.63
57,1970,150,2,7.48
57,1970,151,1,7.49
57,1970,151,2,7.25
57,1970,152,1,6.74
57,1970,152,2,6.13
57,1970,153,1,5.63
57,1970,153,2,4.69
57,1970,154,1,4.3
57,1970,154,2,3.02
108,1970,149,1,4.41
108,1970,149,2,4
108,1970,150,1,4.36
108,1970,150,2,3.54
108,1970,151,1,4.04
108,1970,151,2,3.14
108,1970,152,1,3.65
108,1970,152,2,2.82
108,1970,153,1,3.21
108,1970,153,2,2.54
108,1970,154,1,2.57
108,1970,154,2,1.98
121,1970,149,1,5.28
121,1970,149,2,4.05
121,1970,150,1,5.01
121,1970,150,2,3.39
121,1970,151,1,4.17
121,1970,151,2,2.49
121,1970,152,1,3.42
121,1970,152,2,1.82
121,1970,153,1,2.64
121,1970,153,2,1.25
121,1970,154,1,1.93
121,1970,154,2,0.89
135,1970,149,1,3.4
135,1970,149,2,3.53
135,1970,150,1,3.46
135,1970,150,2,3.33
135,1970,151,1,2.99
135,1970,151,2,2.65
135,1970,152,1,2.45
135,1970,152,2,2.02
135,1970,153,1,1.95
135,1970,153,2,1.48
135,1970,154,1,1.48
135,1970,154,2,1.09
107,1970,149,1,5.29
107,1970,149,2,5.47
107,1970,150,1,4.61
107,1970,150,2,4.33
107,1970,151,1,3.95
107,1970,151,2,3.34
107,1970,152,1,3.36
107,1970,152,2,2.56
107,1970,153,1,2.84
107,1970,153,2,1.93
107,1970,154,1,2.38
107,1970,154,2,1.44
66,1970,149,1,9.49
66,1970,149,2,8.76
66,1970,150,1,8.65
66,1970,150,2,7.36
66,1970,151,1,7.73
66,1970,151,2,5.96
66,1970,152,1,6.81
66,1970,152,2,4.71
66,1970,153,1,5.94
66,1970,153,2,3.64
66,1970,154,1,5.11
66,1970,154,2,2.73
162,1970,149,1,2.91
162,1970,149,2,1.1
162,1970,150,1,2.46
162,1970,150,2,0.8
162,1970,151,1,2.06
162,1970,151,2,0.57
162,1970,152,1,1.72
162,1970,152,2,0.41
162,1970,153,1,1.42
162,1970,153,2,0.3
162,1970,154,1,1.16
162,1970,154,2,0.21
193,1970,149,1,2.4
193,1970,149,2,3.16
193,1970,150,1,2.22
193,1970,150,2,2.36
193,1970,151,1,1.81
193,1970,151,2,1.69
193,1970,152,1,1.26
193,1970,152,2,0.93
193,1970,153,1,0.85
193,1970,153,2,0.55
193,1970,154,1,0.51
193,1970,154,2,0.26
169,1970,149,1,2.71
169,1970,149,2,1.42
169,1970,150,1,2.84
169,1970,150,2,1.13
169,1970,151,1,2.4
169,1970,151,2,0.68
169,1970,152,1,1.61
169,1970,152,2,0.29
169,1970,153,1,0.87
169,1970,153,2,0.12
169,1970,154,1,0.45
169,1970,154,2,0.05
101,1970,149,1,9.87
101,1970,149,2,9.96
101,1970,150,1,10.22
101,1970,150,2,9.89
101,1970,151,1,9.74
101,1970,151,2,9.39
101,1970,152,1,8.96
101,1970,152,2,8.65
101,1970,153,1,8.01
101,1970,153,2,7.77
101,1970,154,1,7.09
101,1970,154,2,6.98
94,1970,149,1,6.17
94,1970,149,2,5.41
94,1970,150,1,8.7
94,1970,150,2,7.23
94,1970,151,1,8.75
94,1970,151,2,7.06
94,1970,152,1,8.54
94,1970,152,2,6.63
94,1970,153,1,8.24
94,1970,153,2,6.06
94,1970,154,1,7.75
94,1970,154,2,5.41
98,1970,149,1,6.73
98,1970,149,2,6.66
98,1970,150,1,6.68
98,1970,150,2,6.29
98,1970,151,1,5.98
98,1970,151,2,5.47
98,1970,152,1,5.32
98,1970,152,2,4.72
98,1970,153,1,4.66
98,1970,153,2,4
98,1970,154,1,3.97
98,1970,154,2,3.45
6,1970,149,1,5.55
6,1970,149,2,4.53
6,1970,150,1,5.37
6,1970,150,2,3.57
6,1970,151,1,4.63
6,1970,151,2,2.64
6,1970,152,1,3.68
6,1970,152,2,1.74
6,1970,153,1,2.79
6,1970,153,2,0.93
6,1970,154,1,2
6,1970,154,2,0.41
205,1970,149,1,2.54
205,1970,149,2,1.34
205,1970,150,1,2.43
205,1970,150,2,0.94
205,1970,151,1,2.04
205,1970,151,2,0.53
205,1970,152,1,1.42
205,1970,152,2,0.31
205,1970,153,1,0.65
205,1970,153,2,0.1
205,1970,154,1,0.29
205,1970,154,2,0.04
202,1970,149,1,4
202,1970,149,2,2.72
202,1970,150,1,3.65
202,1970,150,2,1.77
202,1970,151,1,2.84
202,1970,151,2,1.03
202,1970,152,1,1.99
202,1970,152,2,0.55
202,1970,153,1,1.2
202,1970,153,2,0.22
202,1970,154,1,0.64
202,1970,154,2,0.09
171,1970,149,1,3.11
171,1970,149,2,1.95
171,1970,150,1,3.79
171,1970,150,2,1.84
171,1970,151,1,3.77
171,1970,151,2,1.5
171,1970,152,1,3.33
171,1970,152,2,0.97
171,1970,153,1,2.45
171,1970,153,2,0.51
171,1970,154,1,1.65
171,1970,154,2,0.21
170,1970,149,1,4.27
170,1970,149,2,3.04
170,1970,150,1,4.76
170,1970,150,2,2.61
170,1970,151,1,3.93
170,1970,151,2,1.62
170,1970,152,1,2.97
170,1970,152,2,0.81
170,1970,153,1,1.71
170,1970,153,2,0.29
170,1970,154,1,0.85
170,1970,154,2,0.12
125,1970,149,1,4.43
125,1970,149,2,4.38
125,1970,150,1,4.43
125,1970,150,2,3.98
125,1970,151,1,3.82
125,1970,151,2,3.23
125,1970,152,1,3.2
125,1970,152,2,2.63
125,1970,153,1,2.62
125,1970,153,2,2.13
125,1970,154,1,2.09
125,1970,154,2,1.66
176,1970,149,1,2.77
176,1970,149,2,1.96
176,1970,150,1,2.8
176,1970,150,2,1.54
176,1970,151,1,1.9
176,1970,151,2,0.63
176,1970,152,1,1.06
176,1970,152,2,0.17
176,1970,153,1,0.53
176,1970,153,2,0.06
176,1970,154,1,0.28
176,1970,154,2,0.03
203,1970,149,1,3.24
203,1970,149,2,2.73
203,1970,150,1,2.61
203,1970,150,2,1.74
203,1970,151,1,2.2
203,1970,151,2,1.01
203,1970,152,1,1.72
203,1970,152,2,0.48
203,1970,153,1,0.91
203,1970,153,2,0.2
203,1970,154,1,0.66
203,1970,154,2,0.13
126,1970,149,1,4.99
126,1970,149,2,5.26
126,1970,150,1,4.65
126,1970,150,2,4.69
126,1970,151,1,4.18
126,1970,151,2,3.97
126,1970,152,1,3.77
